"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"DPM-free",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0102540121282773
"DPM-free",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0262213382035211
"DPM-free",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0146767116939396
"RICLPM",2,"Scenario~0","No~Confounding","Scenario 0",5.0068318757741e-09
"RICLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.72564169472931e-08
"RICLPM",2,"Scenario~2","Step","Scenario 2",0.0641715172025622
"RICLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0778396744594278
"RICLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.030540098820798
"RICLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0297061224347503
"RICLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00389052414904371
"RICLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0408384499295626
"RICLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00464535533564717
"RICLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0114731187904747
"RICLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00718513221394135
"RICLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0528077368815801
"RICLPM",3,"Scenario~0","No~Confounding","Scenario 0",4.5746252223446e-09
"RICLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.68592001468443e-08
"RICLPM",3,"Scenario~2","Step","Scenario 2",0.0454617047752142
"RICLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0442987416399814
"RICLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0735894293804955
"RICLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0285143099915982
"RICLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00852186421093267
"RICLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.022470112361136
"RICLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00348835012154232
"RICLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.035606187659266
"RICLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00336054833665114
"RICLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0217197606994498
"RICLPM",4,"Scenario~0","No~Confounding","Scenario 0",1.19420759206111e-09
"RICLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.10681510049761e-08
"RICLPM",4,"Scenario~2","Step","Scenario 2",0.0555426047876166
"RICLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0167576314439356
"RICLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0338047504504723
"RICLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0281368007114305
"RICLPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00880399701218903
"RICLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0145484254027118
"RICLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00808731620471623
"RICLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0184799426934858
"RICLPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0063658209140524
"RICLPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0220213662693554
"RICLPM",5,"Scenario~0","No~Confounding","Scenario 0",2.12129087602177e-09
"RICLPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",8.50059187188667e-09
"RICLPM",5,"Scenario~2","Step","Scenario 2",0.0664007643273374
"RICLPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0482573435170874
"RICLPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.142955139887843
"RICLPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0343359010654812
"RICLPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0121032212082071
"RICLPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0366825445384517
"RICLPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0243985617518913
"RICLPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0630918374739212
"RICLPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.018749108216541
"RICLPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.00961194307349769
"RICLPM-free",2,"Scenario~0","No~Confounding","Scenario 0",0.140795373809898
"RICLPM-free",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",2.06706802691172e-08
"RICLPM-free",2,"Scenario~2","Step","Scenario 2",0.0244265929324318
"RICLPM-free",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0241655387373595
"RICLPM-free",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00568304085434023
"RICLPM-free",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0054668386535581
"RICLPM-free",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.000791778493466013
"RICLPM-free",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00299589438110337
"RICLPM-free",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00530722735983627
"RICLPM-free",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0014449134785473
"RICLPM-free",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00640347139428312
"RICLPM-free",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0181098558498499
"RICLPM-free",3,"Scenario~0","No~Confounding","Scenario 0",0.0754754618591035
"RICLPM-free",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",2.60130279552914e-08
"RICLPM-free",3,"Scenario~2","Step","Scenario 2",0.00548260247902685
"RICLPM-free",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.00904734629525283
"RICLPM-free",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00521077118380573
"RICLPM-free",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00136327389851937
